"","Mini","Site","Point","Branching_density","Broken_density","D_bin","D_gray","L","I","S","Sphericity","DR1","DR2","DR3","Alive_Density","Total_Density","Alive_Total","Dry_weight"
"1","MBE_1","Belle-ile","Belle-ile 1",3,0,1.1103,2.6527,0.497968502053207,0.49380653280726,0.973274841762296,0.66901092072979,0.454827460121577,0.703691889133031,0.61656750417914,12.68201484432,41.8768502824231,0.078203686779247,12.6559858648203
"2","MBE_2","Belle-ile","Belle-ile 2",4.5,0.0867768595041323,1.11215,2.65165,0.497465300277638,0.495533177768804,0.984907264177025,0.677767868000543,0.468320926385443,0.400682743080083,0.775619881506838,12.4476654394113,36.5242790230046,0.12357116140918,12.4119121814962
"3","MBE_3","Belle-ile","Belle-ile 3",5.4,0.152777777777778,1.1295,2.65875,0.497712677792126,0.495858989291093,0.999263253227956,0.758362449066,0.555893176573222,0.612070882009141,0.730920098042245,12.4552446192178,37.0054760784414,0.117686766224488,10.6058126011635
"4","MCM_1","Camaret","Camaret 1",4.8,0,1.13075,2.66595,0.496968800673654,0.494585937948352,0.968384028685658,0.715029810710648,0.511685854182853,0.577275608486605,0.73082677415785,10.0222304293148,22.8924498459604,0.208498143451449,5.92243957824524
"5","MCM_2","Camaret","Camaret 2",6,0.152777777777778,1.15585,2.67855,0.498525294927906,0.495482080122598,1.02298112957393,0.74822748318474,0.521783438302523,0.726049583785734,0.644395515954508,10.2034963739596,26.4724491773512,0.139461939422383,6.92926438516116
"6","MCM_3","Camaret","Camaret 3",5.8,0.0867768595041323,1.1535,2.67705,0.497767868214939,0.49591248132004,0.983039061005192,0.705458793600385,0.469037260016346,0.568386946928347,0.702989896907389,11.0378395678776,31.485359618249,0.110066858560377,8.85141365145788
"7","MGL_1","Glenan","Glenan 1",3.5,0.326989619377163,1.11005,2.64825,0.497459273889555,0.493675828224954,0.944218051686176,0.632786141249953,0.399185620187686,0.597464643752236,0.641362891623445,12.019514407159,34.2115501671948,0.129915647777091,12.3246260787397
"8","MGL_2","Glenan","Glenan 2",4.5,0.375,1.14875,2.67755,0.497831118865531,0.494944542899471,0.985296728014832,0.673582451986886,0.432512434910215,0.68577565337226,0.670043238388591,13.5416563502906,38.5102342165186,0.166200077391827,11.3466707000405
"9","MGL_3","Glenan","Glenan 3",1.3,0.0867768595041323,1.06845,2.67005,0.49797453151167,0.49307415380396,0.954702848448064,0.649777466914606,0.387959754459615,0.694896045280746,0.556832580671198,14.3695249411108,38.2963392871868,0.233620413406978,10.8669477590456
"10","MME_1","Meaban","Meaban 1",6.3,0.244897959183673,1.13795,2.6554,0.497515670049183,0.49474569284739,0.974400449041412,0.702265679735246,0.488393473115198,0.579315531699472,0.677360691705691,11.476226102753,28.7599330224698,0.189456234086302,7.29601406344718
"11","MME_2","Meaban","Meaban 2",7.1,0.20414201183432,1.1381,2.649,0.497638736093615,0.495459088201056,0.988696142468148,0.689341835313307,0.472455605686048,0.599306784350081,0.728947061567164,11.8674035389132,34.0283086263954,0.123157193957415,8.92624966209541
"12","MME_3","Meaban","Meaban 3",6.7,0,1.16,2.66805,0.49804361571813,0.496335958490155,1.01618197659671,0.709916635031915,0.496065181825077,0.581696642256539,0.686192186512766,12.15934330969,34.2717595262981,0.137991904006053,10.5598392429962
"13","MMO_1","Molene","Molene 1",6.4,0,1.1499,2.7034,0.498816206612879,0.497584263052066,1.05059822624452,0.717586891297136,0.534067357512954,0.65525946420526,0.700678492939671,10.2318379478872,28.1882213096305,0.111509271211722,11.5428567509138
"14","MMO_2","Molene","Molene 2",5.9,0.152777777777778,1.1677,2.6656,0.499021355352809,0.497119494183179,1.02311720413853,0.587295081949759,0.381792496076098,0.443350013909162,0.727157508870783,12.3540671782055,31.569237763649,0.201407724391621,11.0754648006685
"15","MMO_3","Molene","Molene 3",6.3,0.20414201183432,1.1753,2.6778,0.498597296035622,0.497160589666023,1.00359069214272,0.493739901430983,0.288580550051647,0.469875159743727,0.659800168701672,11.3661855438028,27.4874965958953,0.209216775016135,8.40356450177095
"16","MMX_1","Morlaix","Morlaix 1",4.7,0.0867768595041323,1.13665,2.6555,0.498186241627036,0.494576536088437,0.888552454194153,0.513512567772191,0.293577283788396,0.591575307474075,0.559735427617907,10.4175623758772,29.7381887509749,0.0995633435626446,6.32155575399597
"17","MMX_2","Morlaix","Morlaix 2",6.6,0,1.1483,2.6668,0.497405302215911,0.49442074985122,0.931723815221328,0.620094487715349,0.42633614797411,0.506002555095387,0.703378200775535,13.0528250429945,34.351379877774,0.202160585156866,10.831612810275
"18","MMX_3","Morlaix","Morlaix 3",6.4,0.244897959183673,1.1523,2.6735,0.498290405429498,0.495628722006609,0.978799203672301,0.602710331719988,0.417575282199344,0.540194427592739,0.687533559913856,10.2596958201646,32.3711196599216,0.0636397909592958,9.43197316794383
"19","MPP_1","Saint-Brieuc","Saint-Brieuc 1",1.9,0,1.1025,2.6824,0.498487197454619,0.496415156431819,0.99705455425993,0.630645506044721,0.397161313403851,0.634491992476229,0.61709699330224,9.18024234461016,25.3892316732368,0.095476050588119,11.2789891090708
"20","MPP_2","Saint-Brieuc","Saint-Brieuc 2",3.8,0,1.11425,2.6653,0.499316493723377,0.498417474249339,1.0059523484989,0.561123200700212,0.33195031028966,0.57139946438055,0.626036384243823,8.38518207068546,29.3584938235732,0.0259228230674384,11.4573153885569
"21","MPP_3","Saint-Brieuc","Saint-Brieuc 3",3.4,0.20414201183432,1.151,2.666,0.498691792963154,0.497404055664027,0.976305675553697,0.583499708952775,0.346311159402878,0.509061634247132,0.679214648506105,8.29196129461894,33.886473134903,0.0150671112180386,12.9472849329574
"22","MRZ_1","Rozegat","Rozegat 1",7.5,0,1.1541,2.675,0.498021815441293,0.496620404002914,1.01741397011984,0.724234447558305,0.537314281027371,0.487921197242714,0.779437667535796,13.350722134833,33.0002305752846,0.254943861981463,9.55355986119372
"23","MRZ_2","Rozegat","Rozegat 2",7.7,0,1.1624,2.656,0.497072279609789,0.494345342025757,0.986505322886504,0.744112541573355,0.55613112288883,0.66633598107149,0.671617289836814,13.2178097967644,33.3795101718537,0.235485086865902,9.53666288406891
"24","MRZ_3","Rozegat","Rozegat 3",7.9,0.152777777777778,1.1592,2.676,0.497829689697835,0.496110698929226,1.0163641021407,0.758076091341333,0.543739683080454,0.648513904197845,0.75422912686614,14.7595236072534,37.0395807606851,0.290224690049271,13.9456749356638
"25","MTR_1","Trevignon","Trevignon 1",3.1,0.152777777777778,1.1443,2.6887,0.498866393096672,0.497231279058784,1.03571267479557,0.719907438795284,0.467200786912543,0.686599327000742,0.612934372140778,12.3620606857708,31.6797099462783,0.19977136846477,15.7388341526843
"26","MTR_2","Trevignon","Trevignon 2",5.4,0.0867768595041323,1.1689,2.709,0.499180116883357,0.498387679809978,1.08580448970631,0.795753209655772,0.60257770320591,0.594083983569467,0.720111457687653,10.9309158448731,25.9925573950903,0.207858885523629,12.0557601886901
"27","MTR_3","Trevignon","Trevignon 3",6.3,0.152777777777778,1.20105,2.6953,0.499140679087613,0.498679890535643,1.10312161129391,0.792836663731138,0.610284876481479,0.624204330599286,0.755575930665034,11.0888485757838,30.1164232478405,0.134331080543348,15.2547532669738
"28","NBK_1","Keraliou","Keraliou 1",7.1,0.152777777777778,1.1811,2.67575,0.498484141709541,0.496030587061178,1.04770669975938,0.756617808043023,0.53592651052925,0.783372443998065,0.660889729140099,10.816682425442,26.9034303083845,0.176855055735117,7.95820525699264
"29","NBK_2","Keraliou","Keraliou 2",8.3,0,1.18635,2.66635,0.497998804975273,0.496294840153229,1.04089065526813,0.75950047530114,0.59255478967833,0.607846314906754,0.745654169276594,12.7600751801424,34.4171652092344,0.178080963967363,11.4349614331545
"30","NBK_3","Keraliou","Keraliou 3",7.2,0.0867768595041323,1.1793,2.6728,0.498579041133009,0.497557170886862,1.05708576352326,0.741178451702297,0.525217509980427,0.639080643560532,0.705142989813089,15.613683544242,39.1745959889632,0.318574968349086,14.7647832823023
