"","Mini","Site","Point","Branching_density","Broken_density","D_bin","D_gray","L","I","S","Old_density","Sphericity","DR1","DR2","DR3","Alive","Dead","Total","Alive_Density","Total_Density","Alive_Total","Dry_weight"
"1","MBE_1","Belle-ile","Belle-ile 1",3,0,1.1103,2.6527,15.6883333333334,8.985,6.695,1311,0.66901092072979,0.454827460121577,0.703691889133031,0.61656750417914,252,2587,2839,16128,181696,0.088763649,183.61
"2","MBE_2","Belle-ile","Belle-ile 2",4.5,0.1,1.11215,2.65165,14.045,10.58,7.07333333333334,1311,0.677767868000543,0.468320926385443,0.400682743080083,0.775619881506838,219,1217,1436,14016,91904,0.152506964,174.47
"3","MBE_3","Belle-ile","Belle-ile 3",5.4,0.2,1.1295,2.65875,14.785,10.9883333333334,7.59666666666666,1311,0.758362449066,0.555893176573222,0.612070882009141,0.730920098042245,220,1312,1532,14080,98048,0.143603133,116.43
"4","MCM_1","Camaret","Camaret 1",4.8,0,1.13075,2.66595,12.8433333333333,9.61,6.54666666666667,1322,0.715029810710648,0.511685854182853,0.577275608486605,0.73082677415785,48,107,155,3072,9920,0.309677419,29.89
"5","MCM_2","Camaret","Camaret 2",6,0.2,1.15585,2.67855,18.4133333333333,10.52,8.63166666666666,1322,0.74822748318474,0.521783438302523,0.726049583785734,0.644395515954508,54,250,304,3456,19456,0.177631579,42.12
"6","MCM_3","Camaret","Camaret 3",5.8,0.1,1.1535,2.67705,14.9666666666667,11.06,7.01,1322,0.705458793600385,0.469037260016346,0.568386946928347,0.702989896907389,92,603,695,5888,44480,0.132374101,74.49
"7","MGL_1","Glenan","Glenan 1",3.5,0.7,1.11005,2.64825,14.0283333333334,8.89166666666667,5.89333333333334,2155,0.632786141249953,0.399185620187686,0.597464643752236,0.641362891623445,169,872,1041,10816,66624,0.1623439,171.28
"8","MGL_2","Glenan","Glenan 2",4.5,1,1.14875,2.67755,15.1833333333334,9.94499999999999,7.08666666666666,2155,0.673582451986886,0.432512434910215,0.68577565337226,0.670043238388591,418,1449,1867,26752,119488,0.223888591,138.27
"9","MGL_3","Glenan","Glenan 3",1.3,0.1,1.06845,2.67005,15.7116666666667,8.49666666666667,6.16166666666667,2155,0.649777466914606,0.387959754459615,0.694896045280746,0.556832580671198,672,1144,1816,43008,116224,0.370044053,123.83
"10","MME_1","Meaban","Meaban 1",6.3,0.4,1.13795,2.6554,14.1866666666666,9.755,6.73,2222,0.702265679735246,0.488393473115198,0.579315531699472,0.677360691705691,121,329,450,7744,28800,0.268888889,47.33
"11","MME_2","Meaban","Meaban 2",7.1,0.3,1.1381,2.649,14.5516666666666,10.4933333333333,7.205,2222,0.689341835313307,0.472455605686048,0.599306784350081,0.728947061567164,154,860,1014,9856,64896,0.151873767,76.02
"12","MME_3","Meaban","Meaban 3",6.7,0,1.16,2.66805,15.9866666666667,11.6816666666667,8.31,2222,0.709916635031915,0.496065181825077,0.581696642256539,0.686192186512766,184,866,1050,11776,67200,0.175238095,115.16
"13","MMO_1","Molene","Molene 1",6.4,0,1.1499,2.7034,20.5516666666666,14.3866666666666,10.205,977,0.717586891297136,0.534067357512954,0.65525946420526,0.700678492939671,55,354,409,3520,26176,0.134474328,144.5
"14","MMO_2","Molene","Molene 2",5.9,0.2,1.1677,2.6656,22.6033333333333,13.175,8.63833333333334,977,0.587295081949759,0.381792496076098,0.443350013909162,0.727157508870783,207,497,704,13248,45056,0.294034091,129.97
"15","MMO_3","Molene","Molene 3",6.3,0.3,1.1753,2.6778,18.88,13.27,7.76833333333333,977,0.493739901430983,0.288580550051647,0.469875159743727,0.659800168701672,113,250,363,7232,23232,0.311294766,65.78
"16","MMX_1","Morlaix","Morlaix 1",4.7,0.1,1.13665,2.6555,16.6033333333333,9.60166666666667,4.76333333333334,3000,0.513512567772191,0.293577283788396,0.591575307474075,0.559735427617907,62,466,528,3968,33792,0.117424242,34.39
