"","mini","Site","Point","Year","Grain_size","Kurtosis.fw.um","Trask(So)","Gravel","Mud","OM","T_mean","T_max","T_sd","Current_mean","depth","Fetch_max"
"Belle-ile 1_2007","MBE_1","Belle-ile","Belle-ile 1",2007,2790.279,5.143,1.347,76.527,15.372,5.1692,14.0482568641814,18.1945718177927,2.60049832052541,0.180664078116127,4,81.5435236778238
"Belle-ile 1_2008","MBE_1","Belle-ile","Belle-ile 1",2008,57104.254,4.425,1.305,82.476,6.398,0.255,11.5806854771082,14.304000204429,1.70249045263404,0.185233438048567,4,81.5435236778238
"Belle-ile 1_2009","MBE_1","Belle-ile","Belle-ile 1",2009,159696.452,0.833,1.318,96.73,0.69,2.89,12.2689560923256,16.949714615808,2.72231993999191,0.181052457691595,4,81.5435236778238
"Belle-ile 1_2010","MBE_1","Belle-ile","Belle-ile 1",2010,50079.888,0.969,1.514,73.553,0.98,2.84,10.9505644479597,15.0128573809551,2.01903353036249,0.181078841074147,4,81.5435236778238
"Belle-ile 1_2011","MBE_1","Belle-ile","Belle-ile 1",2011,152365.668,2.292,1.098,97.94,0.4,3.85,12.0027363588611,15.2635716785777,2.33164206700129,0.187258882311995,4,81.5435236778238
"Belle-ile 1_2012","MBE_1","Belle-ile","Belle-ile 1",2012,81814.625,3.016,1.563,82.018,8.451,4.25,13.6523982999433,17.6357146483913,2.80053672480147,0.181122352953961,4,81.5435236778238
"Belle-ile 1_2013","MBE_1","Belle-ile","Belle-ile 1",2013,260501.694,2.047,1.794,85.31,5.18,4.85,13.4488634842755,15.893571708501,1.84135979167274,0.186490033978387,4,81.5435236778238
"Belle-ile 1_2014","MBE_1","Belle-ile","Belle-ile 1",2014,72431.965,0.979,1.849,71.943,0.95,4.35,13.0904240850112,16.3178574429393,2.08554592581366,0.188486661587106,4,81.5435236778238
"Belle-ile 1_2015","MBE_1","Belle-ile","Belle-ile 1",2015,75178.121,4.604,1.36,80.484,10.168,4.25,13.2742686013593,16.7608574639806,2.3870617972531,0.191960944428403,4,81.5435236778238
"Belle-ile 1_2016","MBE_1","Belle-ile","Belle-ile 1",2016,113620.43,0.871,1.286,95.26,0.49,3.92,13.9533399561133,16.4857145937692,1.84113112020029,0.185922696982303,4,81.5435236778238
